x	y	classify	taxa	attr1	attr2
71.02002567	-159.4164899	4	A171	71.02002567	-159.4164899
-86.29312859	-150.4200297	2	A172	-86.29312859	-150.4200297
-78.81681822	-36.71652639	3	A173	-78.81681822	-36.71652639
176.4577287	64.72445269	2	A174	176.4577287	64.72445269
-14.87130631	46.43951858	3	A175	-14.87130631	46.43951858
41.50675012	183.8046328	3	A176	41.50675012	183.8046328
-95.61170129	68.37586156	3	A177	-95.61170129	68.37586156
-115.3991173	-20.88204755	1	A178	-115.3991173	-20.88204755
-55.88878097	87.10097506	3	A179	-55.88878097	87.10097506
67.3734973	-178.8693736	4	A180	67.3734973	-178.8693736
-135.2220036	-179.4843939	5	A181	-135.2220036	-179.4843939
32.17536749	-149.1773643	4	A182	32.17536749	-149.1773643
16.71176573	69.55680862	3	A183	16.71176573	69.55680862
-25.28719836	101.7792531	1	A184	-25.28719836	101.7792531
-73.61876925	235.4002712	1	A185	-73.61876925	235.4002712
-174.5625836	46.58444292	1	A186	-174.5625836	46.58444292
70.77914479	-48.32733828	2	A187	70.77914479	-48.32733828
163.9233106	-15.83385089	2	A188	163.9233106	-15.83385089
55.74769313	134.0202984	3	A189	55.74769313	134.0202984
223.3024542	-26.3817812	2	A190	223.3024542	-26.3817812
209.5525587	87.34299435	2	A191	209.5525587	87.34299435
51.97749579	-178.7337205	4	A192	51.97749579	-178.7337205
119.4923805	145.0866546	2	A193	119.4923805	145.0866546
-195.3344565	-44.1632668	1	A194	-195.3344565	-44.1632668
125.2192882	4.47594798	2	A195	125.2192882	4.47594798
-26.77072278	-18.43967256	3	A196	-26.77072278	-18.43967256
46.13226009	215.5212994	3	A197	46.13226009	215.5212994
-114.2014287	-80.7141812	3	A198	-114.2014287	-80.7141812
-87.37506661	-201.2529982	2	A199	-87.37506661	-201.2529982
71.61635903	-68.22342095	2	A200	71.61635903	-68.22342095
25.15536181	-9.157417759	3	A201	25.15536181	-9.157417759
19.72310139	-268.1195745	4	A202	19.72310139	-268.1195745
61.03388987	-225.2447918	4	A203	61.03388987	-225.2447918
118.5829107	-136.6596931	4	A204	118.5829107	-136.6596931
63.72905662	-202.2705821	4	A205	63.72905662	-202.2705821
-149.1538249	142.2449163	1	A206	-149.1538249	142.2449163
100.9242375	249.1310847	3	A207	100.9242375	249.1310847
-208.3497878	29.15732801	1	A208	-208.3497878	29.15732801
-50.59584502	-63.78765139	3	A209	-50.59584502	-63.78765139
139.32972	8.578993648	2	A210	139.32972	8.578993648
108.1101967	5.973383145	2	A211	108.1101967	5.973383145
66.67626256	99.34462841	3	A212	66.67626256	99.34462841
-152.9014373	-33.14752925	1	A213	-152.9014373	-33.14752925
